system   I             system.c:245  al_install_system                [   0.00134] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:202  debug_display_settings           [   0.06838] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06840] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06842] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06845] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.06846] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06849] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06851] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06854] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06856] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06858] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06860] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06863] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06864] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06867] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06869] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06872] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06874] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06876] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06878] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06881] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06883] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06885] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06887] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06890] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06892] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06894] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06896] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06899] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06901] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06904] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06906] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06908] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06910] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06913] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06915] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06917] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06919] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06922] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06924] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06926] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06928] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06931] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06933] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06935] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06937] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06940] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06942] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06944] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06946] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06949] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06951] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06953] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06955] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06958] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06960] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06962] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06964] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06967] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06969] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06972] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06974] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06976] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06978] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06980] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06982] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06985] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06987] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.06990] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.06991] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06994] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.06996] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.06999] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07001] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07004] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07005] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07008] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07010] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07013] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07015] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07017] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07019] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07022] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07024] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07027] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07029] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07031] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07033] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07036] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07038] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07045] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07047] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07050] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07052] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07055] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07056] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07059] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07061] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07064] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.07066] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.07068] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1670 d3d_create_display_internals     [   0.07072] Trying format 0.
d3d      I         d3d_disp.cpp:1346 d3d_display_thread_proc          [   0.07140] Chose a display format: 23
d3d      I         d3d_disp.cpp:1415 d3d_display_thread_proc          [   0.07144] Normal window.
d3d      I         d3d_disp.cpp:779  d3d_create_device                [   0.08930] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:837  d3d_create_device                [   0.10145] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:845  d3d_create_device                [   0.10150] Success
d3d      D         d3d_disp.cpp:1693 d3d_create_display_internals     [   0.10154] Resumed after wait.
d3d      I         d3d_disp.cpp:1726 d3d_create_display_internals     [   0.10159] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1757 d3d_create_display_internals     [   0.10165] Returning d3d_display: 014481A0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.10167] al_display=014481A0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.10169] al_display->vt=01426388
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10194] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10272] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10288] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10357] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10372] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10441] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10455] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10512] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10522] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10563] PathFindOnPath failed to find d3dx9_39.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10572] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10618] PathFindOnPath failed to find d3dx9_38.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10627] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10684] PathFindOnPath failed to find d3dx9_37.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10697] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10758] PathFindOnPath failed to find d3dx9_36.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10770] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10833] PathFindOnPath failed to find d3dx9_35.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10842] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.10903] PathFindOnPath failed to find d3dx9_34.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.10918] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.11004] PathFindOnPath failed to find d3dx9_33.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.11022] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.11069] PathFindOnPath failed to find d3dx9_32.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.11078] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   W            wsystem.c:728  _al_win_safe_load_library        [   0.11121] PathFindOnPath failed to find d3dx9_31.dll
system   D            wsystem.c:674  maybe_parent_dir                 [   0.11131] Also searching C:\Users\Lichi\Documents\Graficos 1\TP3\TP3parte2Graficos1\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.11145] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_30.dll
system   D            wsystem.c:635  load_library_at_path             [   0.11146] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_30.dll
system   I            wsystem.c:638  load_library_at_path             [   0.12041] Loaded C:\WINDOWS\system32\d3dx9_30.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.12048] Module "d3dx9_30.dll" loaded.
d3d      I         d3d_disp.cpp:899  d3d_destroy_display              [   0.12115] destroying display 014481A0 (current 00000000)
d3d      D         d3d_disp.cpp:883  d3d_destroy_display_internals    [   0.12263] waiting for display 014481A0's thread to end
d3d      W         d3d_disp.cpp:593  d3d_destroy_device               [   0.12886] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1551 d3d_display_thread_proc          [   0.13244] d3d display thread exits
